Project,Buildable,Success,Fail,No,TotalCommits,% SUCCESS
Apktool,1637,918,929,0,1847,56.08
Bukkit,1431,1404,105,0,1509,98.11
Hystrix,2108,988,1121,0,2109,46.87
Jest,1152,1084,69,0,1153,94.1
Mekanism,5530,178,8177,0,8355,3.22
MinecraftForge,4301,14,7861,0,7875,0.33
TinkersConstruct,6735,515,6544,0,7059,7.65
Twitter4J,2320,851,1469,0,2320,36.68
assertj-core,3486,2901,585,0,3486,83.22
aws-sdk-java,3032,2430,602,0,3032,80.15
bookkeeper,2489,173,2344,0,2517,6.95
commons-lang,6445,5660,786,0,6446,87.82
connectbot,1936,0,2000,0,2000,0.0
cucumber-jvm,5260,1820,3815,0,5635,34.6
dcm4che,2927,1209,1719,0,2928,41.31
deeplearning4j,1984,0,1984,0,1984,0.0
docker-java,2068,1902,167,0,2069,91.97
docx4j,2264,1531,2456,0,3987,67.62
ehcache3,4592,824,3840,0,4664,17.94
elasticsearch-hadoop,2071,0,2071,0,2071,0.0
error-prone,5040,2570,2475,0,5045,50.99
eureka,1679,942,739,0,1681,56.1
fastjson,3931,3710,222,0,3932,94.38
flyway,2842,251,2620,0,2871,8.83
gatk,3915,1236,3131,0,4367,31.57
geotools,9049,0,9049,0,9049,0.0
heritrix3,2346,0,2357,0,2357,0.0
hibernate-validator,4212,16,4198,0,4214,0.38
httpcomponents-client,3270,1320,1970,0,3290,40.37
incubator-pinot,8192,373,7831,0,8204,4.55
influxdb-java,1131,1124,8,0,1132,99.38
initializr,1559,1203,743,0,1946,77.16
jackson-databind,6345,1797,4548,0,6345,28.32
jacoco,885,0,1735,0,1735,0.0
jadx,1516,1125,392,0,1517,74.21
java-client,1570,424,1190,0,1614,27.01
java-driver,1723,783,940,0,1723,45.44
javaee7-samples,1544,448,1099,0,1547,29.02
javaparser,7772,7268,512,0,7780,93.52
jgit,8470,7382,1137,0,8519,87.15
joda-time,682,682,1493,0,2175,100.0
json-schema-validator,2791,2522,269,0,2791,90.36
jsprit,2057,1950,172,0,2122,94.8
junit4,2470,1170,1307,0,2477,47.37
kairosdb,299,245,1145,0,1390,81.94
lettuce-core,2145,2066,79,0,2145,96.32
log4j,2898,133,3142,0,3275,4.59
logback,4082,2834,1254,0,4088,69.43
lwjgl3,3456,385,3071,0,3456,11.14
mina,2400,1311,1090,0,2401,54.62
mockito,5632,3058,2585,0,5643,54.3
moco,2858,2274,1191,0,3465,79.57
netty,10594,1379,9215,0,10594,13.02
ngrinder,4876,614,4263,0,4877,12.59
nifi,5712,0,6756,0,6756,0.0
nutch,3212,1094,2123,0,3217,34.06
opengrok,6595,3103,3493,0,6596,47.05
pac4j,3260,214,3047,0,3261,6.56
pig,3695,520,3176,0,3696,14.07
pinot,8165,373,7804,0,8177,4.57
powermock,1619,626,993,0,1619,38.67
quasar,1844,313,2181,0,2494,16.97
quickstart,2024,725,1651,0,2376,35.82
realm-java,8783,301,8500,0,8801,3.43
resteasy,4353,310,4527,0,4837,7.12
scribejava,1235,642,593,0,1235,51.98
simple-binary-encoding,3229,1548,1684,0,3232,47.94
smali,1912,423,1491,0,1914,22.12
soot,5717,960,5825,0,6785,16.79
spring-cloud-config,1588,842,746,0,1588,53.02
spring-cloud-netflix,2885,602,2283,0,2885,20.87
spring-data-jpa,1608,542,1067,0,1609,33.71
spring-data-mongodb,3236,728,2508,0,3236,22.5
spring-security,9246,487,9202,0,9689,5.27
spring-security-oauth,1406,770,637,0,1407,54.77
swagger-core,3982,2721,1262,0,3983,68.33
thymeleaf,1686,1404,283,0,1687,83.27
webmagic,1132,999,133,0,1132,88.25
wiremock,1780,306,1933,0,2239,17.19
zxing,3584,938,2671,0,3609,26.17
