Project,Original Commits,Buildable commits,Built successfully
isis,4817,2062,90
james-hupa,686,677,0
james-jdkim,124,123,9
james-jsieve,527,473,0
james-jspf,621,446,166
james-mime4j,733,722,70
james-postage,74,63,0
jclouds,5074,1039,0
jena,2680,2647,329
kalumet,172,170,5
karaf-cave,103,103,31
karaf-cellar,460,460,1
log4j-component,68,68,46
log4j-extras,213,213,197
log4j-receivers,96,96,0
log4j-zeroconf,25,25,11
mahout,3156,3117,577
manifoldcf-integration-solr-4.x,3355,3,3
maven,9427,9196,1704
maven-2,5636,5405,1120
maven-app-engine,54,54,38
maven-doxia,1543,1541,155
maven-doxia-tools,306,303,119
maven-enforcer,411,408,122
maven-integration-testing,2042,2037,380
maven-jxr,232,227,225
maven-plugins,11812,11221,21
maven-plugin-testing,98,96,90
maven-resources,149,147,90
maven-scm,1789,1769,1292
maven-surefire,1677,1588,712
myfaces-extval,509,509,66
myfaces-html5,77,76,25
myfaces-portlet-bridge,27,26,25
myfaces-scripting,843,842,55
nuvem,138,135,1
odftoolkit,726,155,0
olingo-odata2,388,388,98
olingo-odata4,532,531,4
oltu,741,737,582
oozie,1423,1421,0
openwebbeans,3088,3056,310
pluto,1488,944,43
qpid-jms,497,489,0
qpid-proton,1364,821,570
rampart,878,872,0
roller,3130,895,0
sandesha,884,505,0
servicemix,194,192,0
servicemix3,2968,2968,0
servicemix4-bundles,7228,7227,1707
servicemix4-features,1085,1084,0
servicemix4-kernel,526,525,0
servicemix4-specs,254,254,0
servicemix-components,225,225,0
sirona,718,718,661
struts-examples,68,67,65
struts-sandbox,1875,353,175
tajo,1212,1212,0
tiles,1066,1023,482
tiles-autotag,110,107,18
tomee,8916,6955,0
tuscany-sca-1.x,515,514,0
tuscany-sca-2.x,4310,4309,0
uima-addons,102,98,0
uima-as,1409,389,0
uima-ruta,1105,860,0
uima-uimafit,236,235,4
uima-uimaj,3863,867,0
velocity-engine,3753,570,525
velocity-tools,1207,460,296
vysper,678,671,1
webservices-commons-xmlschema,373,336,320
webservices-neethi,358,213,55
whirr,568,564,0
wicket,14818,7508,656
wink,892,891,0
wookie,1921,151,0
wss4j,1943,1364,317
